filename,title,source_url,publisher,publication_date,document_type,sector_tags,licence,fetch_status,notes
bref_food_drink_milk.md,"Best Available Techniques (BAT) Reference Document for the Food, Drink and Milk Industries (FDM BREF)",https://eippcb.jrc.ec.europa.eu/sites/default/files/2020-01/JRC118627_FDM_Bref_2019_published.pdf,"European Commission JRC / EIPPCB",2019-12,best_available_techniques,"food_and_drink;dairy;brewing;soft_drinks;meat;fruit_vegetable","EU Commission reuse policy (free with attribution)",metadata_only_url_recorded,"PRIORITY: canonical EU IPPC document. Direct PDF fetch blocked by tool provenance constraints; full ~700pp PDF must be downloaded manually from EIPPCB. URL recorded for engine RAG stub."
ahdb_dairy_energy.md,"AHDB Dairy Energy Efficiency Resources",https://ahdb.org.uk/knowledge-library/improving-energy-efficiency-on-dairy-farms,"Agriculture and Horticulture Development Board (AHDB)",ongoing,sector_report,"food_and_drink;dairy;milk_processing","AHDB free-to-read content; reuse beyond fair use requires AHDB permission",metadata_only_url_recorded,"Knowledge library spread across many pages; URLs catalogued in file. AHDB primary focus is dairy farms not processing plants."
bbpa_brewery_energy.md,"BBPA Brewing Green and Road to Net Zero — UK Brewery Energy Benchmarks",https://beerandpub.com/policy-campaigns/sustainability/the-road-to-net-zero/,"British Beer and Pub Association (BBPA)",ongoing,energy_benchmark,"food_and_drink;brewing;beverages","BBPA public web pages; member-only data behind login",metadata_only_url_recorded,"Public summary numbers captured. Full BBPA biennial member energy survey is member-only; record manual_required for plant-level data."
bsda_soft_drinks_energy.md,"BSDA — UK Soft Drinks Sector Energy and Sustainability References",https://www.britishsoftdrinks.com/,"British Soft Drinks Association (BSDA)",ongoing,sector_report,"food_and_drink;soft_drinks;beverages","BSDA public pages; member-only benchmarking",manual_required_for_member_data,"BSDA does not publish a dedicated sector-wide energy report. Plant-level data requires BSDA membership."
desnz_industrial_energy_use.md,"DESNZ / BEIS Energy Consumption in the UK (ECUK) and MSEES",https://www.gov.uk/government/statistics/energy-consumption-in-the-uk-2025/energy-consumption-in-the-uk-ecuk-2025,"Department for Energy Security and Net Zero (DESNZ)","ECUK 2025 / MSEES 2021",sector_report,"food_and_drink;manufacturing;industrial;uk_statistics","Open Government Licence v3.0",metadata_only_url_recorded,"ECUK is the UK's authoritative national energy statistics. MSEES 2021 covers manufacturing energy efficiency including F&D."
wrap_food_drink_resource_efficiency.md,"WRAP — UK Food and Drink Decarbonisation and Resource Efficiency",https://www.wrap.ngo/resources/report/journey-towards-net-zero-progress-report-uk-food-system,"WRAP / Defra","Phase 2 report April 2024",sector_report,"food_and_drink;manufacturing;resource_efficiency;ghg","WRAP / Open Government Licence",metadata_only_url_recorded,"Phase 2 'Unlocking Resource Efficiency' (Defra/WRAP April 2024) is the deepest recent open analysis of UK F&D energy and resource efficiency."
carbon_trust_refrigeration_guide.md,"Carbon Trust — Refrigeration Systems Technology Guide (CTG046)",https://www.carbontrust.com/our-work-and-impact/guides-reports-and-tools/refrigeration-guide,"The Carbon Trust","2011 (CTG046)",energy_benchmark,"food_and_drink;refrigeration;industrial","Carbon Trust free guides with attribution",metadata_only_url_recorded,"Canonical UK introductory guide for industrial refrigeration energy savings. Sister guides CTG021 (roadmap) and CTL056 (heat recovery) catalogued."
decc_food_drink_roadmap_2050.md,"DECC/BIS Industrial Decarbonisation and Energy Efficiency Roadmap to 2050 — Food and Drink Sector",https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/416672/Food_and_Drink_Report.pdf,"DECC / BIS — Parsons Brinckerhoff and DNV GL",2015-03,consultancy_study,"food_and_drink;industrial;decarbonisation","Open Government Licence v3.0",metadata_only_url_recorded,"PRIORITY: canonical UK Government commissioned consultancy study — closest existing analogue to the AI engine output. 2017 Action Plan also catalogued."
uk_industrial_decarbonisation_strategy_2021.md,"UK Industrial Decarbonisation Strategy (BEIS, March 2021, CP 399)",https://assets.publishing.service.gov.uk/media/6051cd04e90e07527f645f1e/Industrial_Decarbonisation_Strategy_March_2021.pdf,"BEIS (now DESNZ)",2021-03-17,consultancy_study,"industrial;decarbonisation;uk_policy;food_and_drink","Open Government Licence v3.0 / Crown Copyright CP 399",metadata_only_url_recorded,"Foundational UK industrial decarbonisation policy. Sets the strategic backdrop for all UK industrial decarb work post-2021."
ricardo_aea_industrial_heat_decarbonisation.md,"Ricardo-AEA — Decarbonisation of Heat in Industry (Literature Review)",https://assets.publishing.service.gov.uk/media/5a7c8be6ed915d6969f45a43/D13_951813__Ricardo_AEA_Industrial_Decarbonisation_Literature_Review_201___.pdf,"Ricardo-AEA + Imperial College for DECC",2013,consultancy_study,"industrial;decarbonisation;heat;food_and_drink","Open Government Licence v3.0",metadata_only_url_recorded,"Foundational UK industrial heat decarb evidence base. Pairs with Ricardo Pathways to Industrial Heat Decarbonisation white paper."
element_energy_deep_decarbonisation_uk_industry.md,"Element Energy — Deep-Decarbonisation Pathways for UK Industry (CCC, 2020)",https://www.theccc.org.uk/wp-content/uploads/2020/12/Element-Energy-Deep-Decarbonisation-Pathways-for-UK-Industry.pdf,"Element Energy (now ERM) for the Climate Change Committee",2020-12,consultancy_study,"industrial;decarbonisation;food_and_drink;ccc","CCC public, free to download with attribution",metadata_only_url_recorded,"Introduces N-ZIP model. Underpinned CCC Sixth Carbon Budget industrial pathways."
fooddrinkeurope_decarbonisation_roadmap.md,"FoodDrinkEurope — Decarbonisation Roadmap for the European F&D Manufacturing Sector",https://www.fooddrinkeurope.eu/wp-content/uploads/2021/09/Decarbonising-the-European-food-and-drink-manufacturing-sector_v2.pdf,"FoodDrinkEurope; analysis by Ricardo Energy & Environment",2021-07-12,consultancy_study,"food_and_drink;manufacturing;decarbonisation;europe","FoodDrinkEurope public download with attribution",metadata_only_url_recorded,"~90 named decarbonisation measures structured by demand and supply. Ricardo-authored, UK-credible."
atkins_realis_industrial_decarb_roadmaps.md,"AtkinsRéalis (Atkins / SNC-Lavalin) — Industrial Decarbonisation Roadmaps Programme",https://www.atkinsrealis.com/en/media/press-releases/2022/08-04-2022,"AtkinsRéalis (formerly Atkins, SNC-Lavalin)",2022,consultancy_study,"industrial;decarbonisation;consultancy;uk","AtkinsRéalis public press releases, citation only",metadata_only_url_recorded,"BEIS-appointed Engineering Delivery Partner for Industry of Future programme. Underlying client deliverables confidential."
wsp_2050_industrial_decarbonisation_roadmaps.md,"WSP — 2050 Industrial Decarbonisation Roadmaps (with DNV-GL, for BEIS/DECC)",https://www.wsp.com/en-gb/projects/2050-industrial-decarbonisation-roadmaps,"WSP, with DNV-GL, for DECC","2015 (Roadmaps); 2017 (Phase 2 Action Plans)",consultancy_study,"industrial;decarbonisation;uk;food_and_drink;consultancy","Open Government Licence v3.0 (GOV.UK reports); WSP page © WSP",metadata_only_url_recorded,"WSP led Phase 2 Action Plans across 8 sectors including F&D. Same body of work as DECC 2015/2017 documents."
mott_macdonald_carbon_crunch_heat.md,"Mott MacDonald — Carbon Crunch and Path to Zero Carbon Heat",https://www.mottmac.com/en-us/insights/topics/carbon-crunch/,"Mott MacDonald","Carbon Crunch annual; latest 11th edition",consultancy_study,"industrial;heat;decarbonisation;consultancy","Mott MacDonald public web content, citation only",metadata_only_url_recorded,"Useful as scene-setting / market context. No dedicated public F&D sector report. Heat decarb three-pathway framing widely cited."
frazer_nash_industrial_decarbonisation.md,"Frazer-Nash Consultancy (KBR) — Industrial Decarbonisation References",https://www.fnc.co.uk/discover-frazer-nash/news/report-from-frazer-nash-helping-government-understand-potential-hydrogen-emissions/,"Frazer-Nash Consultancy (KBR)",various,consultancy_study,"industrial;decarbonisation;consultancy;uk;heat_pump","Frazer-Nash public web content, citation only",limited_public_material_manual_required,"Most FN decarb output client-confidential. Public material limited to press releases. Target buyer for engine seat-licence."
fdf_net_zero_handbook.md,"FDF — Roadmap to Net Zero Overview / Decarbonisation of Heat across UK F&D Manufacturing",https://www.fdf.org.uk/globalassets/resources/publications/guidance/net-zero-handbook-summary.pdf,"Food and Drink Federation (FDF)",ongoing,sector_report,"food_and_drink;manufacturing;uk;decarbonisation","FDF public guidance with attribution",metadata_only_url_recorded,"FDF is the principal UK F&D manufacturing trade body. Net Zero Handbook is member-facing guidance."
aea_industrial_sector_pathways.md,"AEA Technology / Ricardo-AEA — UK Industrial Sector Decarbonisation Pathways (Pre-2015 Evidence Base)",https://assets.publishing.service.gov.uk/media/5a7c8be6ed915d6969f45a43/D13_951813__Ricardo_AEA_Industrial_Decarbonisation_Literature_Review_201___.pdf,"AEA Technology / Ricardo-AEA for DECC and BEIS",2013-2015,consultancy_study,"industrial;decarbonisation;heat;uk;evidence_base","Open Government Licence v3.0",metadata_only_url_recorded,"Cross-reference under AEA brand to the Ricardo-AEA evidence base. AEA was acquired by Ricardo in 2012."
